title,authors,journal,year,doi,abstract,tags
Differentiation of fungal trophic guilds to long-term nitrogen addition in a poplar plantation,Nan Yang; Jiangbao Zhang; Jiani Hua; Baohan Song; Tianyi Wang; Wei Xing; Guobing Wang; Lingfeng Mao,Forest Ecology and Management,2024,10.1016/j.foreco.2024.121699,,氮添加/氮沉降
"Metagenomics insights into the functional profiles of soil carbon, nitrogen, and phosphorus cycles in a walnut orchard under various regimes of long-term fertilisation",Tianyu Du; Qufei Hu; Wenjing Mao; Yang Zhou; Hong Chen; Linna Sun; Meizhi Zhai,European Journal of Agronomy,2023,10.1016/j.eja.2023.126887,,宏基因组/功能基因
"Poly-Γ-Glutamic Acid Differentially Alters the Abundances and Communities of N Functional Genes Involved in Urea Hydrolysis, Nitrification and Denitrification When Applied with Different Nitrogen Fertilizers",Lei Zhang; Jichao Gao; Lingli Wang; Yu Sun; Xiaoyan Dong; J. Pei; Zhanbo Wei; Lili Zhang,Social Science Research Network,2023,10.2139/ssrn.4263503,,宏基因组/功能基因；氮循环过程
Metagenomic analysis revealed the potential of lactic acid bacteria in improving natural saline-alkali land,Hai Tang; Zhi Zhong; Jingqing Hou; Lijun You; Zhixin Zhao; Lai‐Yu Kwok; Menghe Bilige,International Microbiology,2023,10.1007/s10123-023-00388-4,,宏基因组/功能基因
Quantitative and compositional responses of ammonia-oxidizing archaea and bacteria to long-term field fertilization,Chao Xue; Xu Zhang; Chen Zhu; Jun Zhao; Ping Zhu; Chang Peng; Ning Ling; Qirong Shen,Scientific Reports,2016,10.1038/srep28981,"Abstract Archaeal (AOA) and bacterial (AOB) ammonia-oxidizer responses to long-term field fertilization in a Mollisol soil were assessed through pyrosequencing of amoA genes. Long-term fertilization treatments including chemical fertilizer (NPK), NPK plus manure (NPKM) and no fertilization over 23 years altered soil properties resulting in significant shifts in AOA and AOB community composition and abundance. NPK exhibited a strong influence on AOA and AOB composition while the addition of manure neutralized the community change induced by NPK. NPK also led to significant soil acidification and enrichment of Nitrosotalea . Nitrosospira cluster 9 and 3c were the most abundant AOB populations with opposing responses to fertilization treatments. NPKM had the largest abundance of ammonia-oxidizers and highest potential nitrification activity (PNA), suggesting high N loss potential due to a doubling of nutrient input compared to NPK. PNA was strongly correlated to AOA and AOB community composition indicating that both were important in ammonium oxidization in this Mollisol soil. Total N and organic C were the most important factors driving shifts in AOA and AOB community composition. The AOA community was strongly correlated to the activities of all sugar hydrolysis associated soil enzymes and was more responsive to C and N input than AOB.",氮添加/氮沉降；氮循环过程
Metagenomic insights into nitrogen-cycling microbial communities and their relationships with nitrogen removal potential in the Yangtze River,Danli Deng; Zhengjian Yang; Yuyi Yang; Wenjie Wan; Wenzhi Liu; Xiang Xiong,Water Research,2024,10.1016/j.watres.2024.122229,,宏基因组/功能基因
"Characteristics of carbon, nitrogen, phosphorus and sulfur cycling genes, microbial community metabolism and key influencing factors during composting process supplemented with biochar and biogas residue",Nanyi Wang; Keqi Zhao; Fanghong Li; Hua Peng; Yaoxiong Lu; Lihua Zhang; Junting Pan; Shilin Jiang,Bioresource Technology,2022,10.1016/j.biortech.2022.128224,,微生物群落
Changes in Microbial Carbon and Nitrogen Cycling in Wetlands Under Moisture Stress,Zhenbo Chen; Zhihong Liu; Changchun Song; Wenwen Tan; Jiaqi Guo; Shuhao Li,Water Resources Research,2025,10.1029/2025wr040253,"The increasing frequency of drought events, driven by climate change and anthropogenic activities, has significantly challenged wetland ecological conservation, exacerbating nutrient limitations for both plant and microbial communities within these ecosystems. However, the adverse effects of drought stress on marsh wetland health, particularly the microbial‐driven mechanisms underlying wetland material cycling, are not yet fully understood. To address this issue, a 6‐year controlled hydrological experiment was conducted in selected wetlands in north‐east China. Changes in wetland ecological functions were studied through long‐term automatic control of four different water levels: L1 (severe drought), L2 (mild drought), L3 (control), and L4 (inundation). The results showed that severe drought and inundation reduced soil nitrogen availability (mainly NH4+, −34.4%–43.6%). Microbial communities exhibited adaptive responses to water and nutrient deficiencies through metabolic regulation, particularly by suppressing energy production pathways, including glycolysis/gluconeogenesis and the tricarboxylic acid cycle. In terms of material cycling, drought significantly promotes microbial nitrogen fixation (+31.7%–419.4%), providing important potential conditions for mitigating nitrogen limitation in wetlands. Regarding ecological functions, inundation conditions were found to promote wetland microbial methanogenesis, whereas drought conditions favored microbial N2O production processes. Seasonal variations were also identified in environmental factors influencing carbon and nitrogen metabolic pathways. The results of our study provide theoretical support for future wetland ecological conservation, particularly for mitigating nutrient depletion in ecosystems under extreme climate change.",氮循环过程；滨海湿地/盐沼
The impact of global change factors on the functional genes of soil nitrogen and methane cycles in grassland ecosystems: a meta-analysis,Yuhan Liu; Yinghui Liu; Jiaqi Zhang; Jingyi Dong; Siyu Ren,Oecologia,2024,10.1007/s00442-024-05651-7,,宏基因组/功能基因
Short‐ and long‐term effects of nutrient enrichment on salt marsh plant production and microbial community structure,Torrance C. Hanley; Jennifer L. Bowen; Patrick J. Kearns; A. Randall Hughes,Journal of Ecology,2021,10.1111/1365-2745.13756,"Abstract Nutrient enrichment impacts ecosystems globally. Population history, especially past resource environments, of numerically dominant plant species may affect their responses to subsequent changes in nutrient availability. Eutrophication can also alter plant–microbe interactions via direct effects on associated microbial communities or indirect effects on dominant species’ biomass production/allocation as a result of modified plant–soil interactions. We combined a greenhouse common garden and a field reciprocal transplant of a salt marsh foundation species ( Spartina alterniflora ) within a long‐term, whole‐ecosystem, nutrient‐enrichment study to determine whether enrichment affects plant production and microbial community structure differently depending on plant population history. For the greenhouse portion, we collected 20 S. alterniflora genotypes—10 from an enriched creek that had received elevated nutrient inputs for 10 years and 10 from an unenriched reference creek—and reared them in a common garden for 1 year. For the field portion, we conducted a 2‐year, fully crossed reciprocal transplant experiment with two gardens each at the enriched and unenriched sites; we examined the effects of source site (i.e. population history), garden site and plant genotype. After 2 years, plants in enriched gardens had higher above‐ground biomass and altered below‐ground allocation compared to plants in unenriched gardens. However, performance also depended on plant population history: plants from the enriched site had decreased above‐ground and rhizome production compared to plants from the unenriched site, most notably in unenriched gardens. In addition, almost all above‐ and below‐ground traits varied depending on plant genotypic identity. Effects of nutrient enrichment on the associated microbial community were also pronounced. Following 1 year in common garden, microbial community structure varied by plant population history and S. alterniflora genotypic identity. However, at the end of the reciprocal transplant, microbial communities differed primarily between enriched and unenriched gardens. Synthesis . Nutrient enrichment can impact plant foundation species and associated soil microbes in the short term. Most importantly, nutrient enrichment can also have long‐lasting effects on plant populations and associated microbial communities that potentially compromise their ability to respond to changing resource conditions in the future.",滨海湿地/盐沼；湿地植被/盐生植物；微生物群落
Regulation of drought stress on nutrient cycle and metabolism of rhizosphere microorganisms in desert riparian forest,Wenjing Li; Hengfang Wang; Guanghui Lv; Jinlong Wang; Jianhao Li,The Science of The Total Environment,2024,10.1016/j.scitotenv.2024.176148,,微生物群落
Metagenomic analysis of petroleum biodegradation coupled to specific N-cycling process in oil-contaminated soil,Lulu Kong; Tiebing Xu; Zepeng Wang; Xueyou Wen; Zhen Jiao; Jingze Liu,Applied Soil Ecology,2023,10.1016/j.apsoil.2023.105144,,宏基因组/功能基因
"Spatiotemporal successions of N, S, C, Fe, and As cycling genes in groundwater of a wetland ecosystem: Enhanced heterogeneity in wet season",Xianglong Chen; Yizhi Sheng; Guangcai Wang; Pengpeng Zhou; Fu Liao; Hairu Mao; Hongyu Zhang; Zhiyuan Qiao,Water Research,2024,10.1016/j.watres.2024.121105,,滨海湿地/盐沼
Rare Taxa as Key Drivers of Soil Multi-Nutrient Cycling Under Different Crop Types,Qingmiao Yang; Hanwen Liu; Biao Tang; Chunxiao Yu; Shide Dong; Yang Li; Guangxu Cui; Yi Zhang,Microorganisms,2025,10.3390/microorganisms13030513,"Soil microorganisms are crucial for nutrient cycling, with abundant and rare taxa playing distinct roles. However, the mechanisms by which soil microbes influence nutrient cycling under different crop types remain unclear. In this study, we investigated the network structure, diversity, and microbial composition of croplands in the Yellow River Delta, focusing on four primary crops: soybean, maize, cotton, and sorghum. The findings revealed that the co-occurring network structure of sorghum planting-soils exhibited greater complexity than other crop types. Bacterial alpha diversity in cotton-planting soil is the highest and susceptible to environmental variations. The diversity of both rare and abundant taxa responds differently to soil nutrients depending on the crop type. While abundant taxa play a crucial role in soil multi-nutrient cycling, rare taxa are key drivers of variations in nutrient cycling expression. The diversity of rare taxa showed a strong correlation with critical nutrients. Structural equation modeling revealed that the alpha diversity of rare bacterial and fungal taxa significantly influenced the soil multi-nutrient cycling index (MNC). Specifically, higher Shannon indices of rare bacterial taxa were associated with lower MNC, while the opposite was true for soil fungi. Soil organic carbon and soil total nitrogen are the key factors influencing alpha diversity in rare bacterial and fungal taxa. Moreover, this study provides new insights into the role of rare soil microbial diversity in the nutrient cycling of agricultural ecosystems.",滨海湿地/盐沼；微生物群落
Microbial community succession in soils under long-term heavy metal stress from community diversity-structure to KEGG function pathways,Suya Ma; Longkai Qiao; Xiaoxia Liu; Shuo Zhang; Luying Zhang; Ziliang Qiu; Caihong Yu,Environmental Research,2022,10.1016/j.envres.2022.113822,,宏基因组/功能基因；微生物群落
LDPE microplastics affect soil microbial communities and nitrogen cycling,Lili Rong; Longfei Zhao; Leicheng Zhao; Zhipeng Cheng; Yiming Yao; Chaolei Yuan; Lei Wang; Hongwen Sun,Science of The Total Environment,2021,10.1016/j.scitotenv.2021.145640,,背景文献
Reveal molecular mechanism on the effects of silver nanoparticles on nitrogen transformation and related functional microorganisms in an agricultural soil,Jinhao Dong; Baoshan Yang; Hui Wang; Xinlei Cao; Fei He; Lijiao Wang,The Science of The Total Environment,2023,10.1016/j.scitotenv.2023.166765,,微生物群落
Nitrogen-cycling processes under long-term compound heavy metal(loids) pressure around a gold mine: Stimulation of nitrite reduction,Xuesong Hu; Xiaoxia Liu; Shuo Zhang; Caihong Yu,Journal of Environmental Sciences,2023,10.1016/j.jes.2023.12.027,,背景文献
Pesticide effects on nitrogen cycle related microbial functions and community composition,Jowenna Xiao Feng Sim; Casey L. Doolette; Sotirios Vasileiadis; Barbara Drigo; Ethan R. Wyrsch; Steven P. Djordjevic; Erica Donner; Dimitrios G. Karpouzas,The Science of The Total Environment,2021,10.1016/j.scitotenv.2021.150734,,背景文献
Effects of manure and nitrogen fertilization on soil microbial carbon fixation genes and associated communities in the Loess Plateau of China,Mengmeng Wen; Yang Liu; Caidi Yang; Ying Dou; Shaoqing Zhu; Guangye Tan; Jun Wang,The Science of The Total Environment,2024,10.1016/j.scitotenv.2024.176581,,氮添加/氮沉降
Structure and Function of Soil Bacterial Communities in the Different Wetland Types of the Liaohe Estuary Wetland,Yunlong Zheng; Fangli Su; Haifu Li; Fei Song; Chao Wei; Panpan Cui,Microorganisms,2024,10.3390/microorganisms12102075,"Soil bacterial communities play a crucial role in the functioning of estuarine wetlands. Investigating the structure and function of these communities across various wetland types, along with the key factors influencing them, is essential for understanding the relationship between bacteria and wetland ecosystems. The Liaohe Estuary Wetland formed this study’s research area, and soil samples from four distinct wetland types were utilized: suaeda wetlands, reed wetlands, pond returning wetlands, and tidal flat wetlands. The structure and function of the soil bacterial communities were examined using Illumina MiSeq high-throughput sequencing technology in conjunction with the PICRUSt analysis method. The results indicate that different wetland types significantly affect the physical and chemical properties of soil, as well as the structure and function of bacterial communities. The abundance and diversity of soil bacterial communities were highest in the suaeda wetland and lowest in the tidal flat wetland. The dominant bacterial phyla identified were Proteobacteria and Bacteroidota. Furthermore, the dominant bacterial genera identified included RSA9, SZUA_442, and SP4260. The primary functional pathways associated with the bacterial communities involved the biosynthesis of valine, leucine, and isoleucine, as well as lipoic acid metabolism, which are crucial for the carbon and nitrogen cycles. This study enhances our understanding of the mutual feedback between river estuary wetland ecosystems and environmental changes, providing a theoretical foundation for the protection and management of wetlands.",滨海湿地/盐沼；湿地植被/盐生植物；微生物群落
Soil bacteria and fungi communities are shaped by elevation influences in Colombian forest and páramo natural ecosystems,Glever Alexander Vélez‐Martínez; Wendy Lorena Reyes-Ardila; Juan Diego Duque-Zapata; Paula Andrea Rugeles-Silva; Jaime Eduardo Muñoz Flórez; Diana López,International Microbiology,2023,10.1007/s10123-023-00392-8,"The influence of elevation on natural terrestrial ecosystems determines the arrangements of microbial communities in soils to be associated with biotic and abiotic factors. To evaluate changes of fungi and bacteria at the community level along an elevational gradient (between 1000 and 3800 m.a.s.l.), physicochemical measurements of soils, taxonomic identifications of plants, and metabarcoding sequences of the 16S rRNA gene for bacteria and the ITS1 region for fungi were obtained. The bacterial taxonomic composition showed that Acidobacteriota increased in abundance with elevation, while Actinobacteriota and Verrucomicrobiota decreased. Furthermore, Firmicutes and Proteobacteria maintained maximum levels of abundance at intermediate elevations (1200 and 2400 m.a.s.l.). In fungi, Ascomycota was more abundant at higher elevations, Basidiomycota tended to dominate at lower elevations, and Mortierellomycota had a greater presence at intermediate sites. These results correlated with the edaphic parameters of decreasing pH and increasing organic carbon and available nitrogen with elevation. In addition, the Shannon index found a greater diversity in bacteria than fungi, but both showed a unimodal pattern with maximum values in the Andean Forest at 2400 m.a.s.l. Through the microbial characterization of the ecosystems, the elevational gradient, soil properties, and vegetation were found to exert significant effects on microbial communities and alpha diversity indices. We conclude that the most abundant soil microorganisms at the sampling points differed in abundance and diversity according to the variations in factors influencing ecological communities.",微生物群落
Enzymatic stoichiometry reveals phosphorus limitation-induced changes in the soil bacterial communities and element cycling: Evidence from a long-term field experiment,Jiwen Cui; Shuai Zhang; Xiya Wang; Xinpeng Xu; Chao Ai; Guoqing Liang; Ping Zhu; Wei Zhou,Geoderma,2022,10.1016/j.geoderma.2022.116124,,背景文献
"Microplastics perturb nitrogen removal, microbial community and metabolism mechanism in biofilm system",Tong Wu; Le Zhong; Jie Ding; Ji-Wei Pang; Han-Jun Sun; Mengqi Ding; Nanqi Ren; Shan-Shan Yang,Journal of Hazardous Materials,2023,10.1016/j.jhazmat.2023.131971,,微生物群落
Microplastics altered soil microbiome and nitrogen cycling: The role of phthalate plasticizer,Feng Zhu; Yuanyuan Yan; Evelyn Doyle; Changyin Zhu; Xin Jin; Zhanghao Chen; Chao Wang; Huan He,Journal of Hazardous Materials,2021,10.1016/j.jhazmat.2021.127944,,微生物群落
Wetland types shape microbial function related to soil phosphorus cycling based on metagenomics analysis.,Meiqing Jia; Zhiwei Gao; Xuefeng Hu; Mengqiong Feng; Fanhui Liu; Jing Huang; Ruwen Zhang; Jing Li,Journal of Environmental Science,2025,10.1016/j.jes.2025.03.009,,宏基因组/功能基因；滨海湿地/盐沼
Metagenomic insights into the effects of organic and inorganic agricultural managements on soil phosphorus cycling,Xionghui Liao; Jie Zhao; Qing Yi; Jiangnan Li; Zhilei Li; Shanshan Wu; Wei Zhang; Kelin Wang,Agriculture Ecosystems & Environment,2022,10.1016/j.agee.2022.108281,,宏基因组/功能基因
Biodegradable film mulching increases soil microbial network complexity and decreases nitrogen-cycling gene abundance,Hao Zhang; Duntao Shu; Jiaqi Zhang; Xuejun Liu; Kai Wang; Rui Jiang,The Science of The Total Environment,2024,10.1016/j.scitotenv.2024.172874,,背景文献
Effects of Exotic Spartina alterniflora Invasion on Soil Phosphorus and Carbon Pools and Associated Soil Microbial Community Composition in Coastal Wetlands,,,,10.1021/acsomega.0c06161.s001,,滨海湿地/盐沼；湿地植被/盐生植物；微生物群落
Responses of soil carbon cycling microbial functional genes to nitrogen and phosphorus addition in saline-sodic soils,Xuejun Du; Yanning Ge; Yun Zhang; Hao Hu; Yiying Zhang; Ziye Yang; Xueqin Ren; Shuwen Hu,Plant and Soil,2023,10.1007/s11104-023-06070-y,,宏基因组/功能基因
The impacts of microplastics on the cycling of carbon and nitrogen in terrestrial soil ecosystems: Progress and prospects,Wenfeng Wang; Zhiyu Zhang; Jie Gao; Haitao Wu,The Science of The Total Environment,2024,10.1016/j.scitotenv.2024.169977,,背景文献
Estuarine Sediment Microbiomes from a Chronosequence of Restored Urban Salt Marshes,Nathan Morris; Mary Alldred; Chester B. Zarnoch; S. Elizabeth Alter,Microbial Ecology,2023,10.1007/s00248-023-02193-y,,滨海湿地/盐沼；微生物群落
"Effects of pyroxsulam on soil enzyme activity, nitrogen and carbon cycle-related gene expression, and bacterial community structure",Dengtan Li; Shujuan Sun; Tongtong Zhou; Zhongkun Du; Jun Wang; Bing Li; Jinhua Wang; Lusheng Zhu,Journal of Cleaner Production,2022,10.1016/j.jclepro.2022.131821,,微生物群落
The Long-Term Effect of Biochar Amendment on Soil Biochemistry and Phosphorus Availability of Calcareous Soils,Qing‐Song Yuan; Ya Gao; Guozhen Ma; Haizhong Wu; Qingsong Li; Yali Zhang; Shiliang Liu; Xiaolei Jie,Agriculture,2025,10.3390/agriculture15050458,"Biochar soil amendment has proven to be beneficial for soil fertility regulation, while the long-term mechanisms under different soil conditions remain largely unexplored. This study was based on two long-term field experiments in calcareous soils to explore the effect of biochar on fertility and phosphorus availability, as well as potential mechanisms. Experiments were conducted on Fluvo-aquic soil (6 years) and Cinnamon soil (5 years), respectively. Biochar was applied once at 20 t/ha level and mixed with the topsoil. We evaluated soil fertility and phosphorus fractions with and without biochar amendment and analyzed the related extracellular enzyme activity and functional gene abundance. The results indicate a persistent increase in crop yield by 10.8–24.3% in calcareous soils after 5–6 years of treatment. Biochar enhanced soil fertility, including increased SOC, available phosphorus, and potassium content. Moreover, it boosted the activity of extracellular enzymes related to soil carbon, nitrogen, and phosphorus cycling. This effect may be associated with the stability of morphological features and mineral element regulation on biochar surfaces. Biochar soil amendment led to a long-term increase in phosphorus availability, of which available phosphorus increased by 13.1–49.1%. Potential mechanisms included an increase in labile phosphorus forms and biological mechanisms of raising alkaline phosphatase activities and increasing the copy numbers of the phosphatase genes (phoD, phoX, and nifH). In conclusion, biochar soil amendment resulted in sustained improvement in soil fertility in calcareous soils and consistently increased phosphorus availability via biochemical mechanisms.",宏基因组/功能基因
Changes in soil prokaryotic communities and nitrogen cycling functions along a groundwater table drawdown gradient in desert wetlands,Kun Wang; Ruopeng Pan; Hongyan Fei; Qian Tong; Fengpeng Han,The Science of The Total Environment,2022,10.1016/j.scitotenv.2022.156868,,滨海湿地/盐沼
"Polyethylene microplastic and soil nitrogen dynamics: Unraveling the links between functional genes, microbial communities, and transformation processes",Zhidong Zhou; Jianfeng Hua; Jianhui Xue,Journal of Hazardous Materials,2023,10.1016/j.jhazmat.2023.131857,,宏基因组/功能基因
Changes in soil bacterial and fungal community composition and functional groups during the succession of boreal forests,Shuai Jiang; Yajuan Xing; Guancheng Liu; Chunyi Hu; Xiaochun Wang; Guoyong Yan; Qinggui Wang,Soil Biology and Biochemistry,2021,10.1016/j.soilbio.2021.108393,,微生物群落
Effect of planting salt-tolerant legumes on coastal saline soil nutrient availability and microbial communities,Yanfen Zheng; Xuwen Cao; Yanan Zhou; Zhe Li; Yanzhe Yang; Dong‐Lin Zhao; Yiqiang Li; Zongchang Xu,Journal of Environmental Management,2023,10.1016/j.jenvman.2023.118574,,滨海湿地/盐沼
Effect of salinity and soil aggregate size on microbial community involved in carbon and nitrogen cycling,Jiuwei Song; Yuhan Cai; Yunxiu Zhao; Xingmei Liu,Plant and Soil,2025,10.1007/s11104-025-07862-0,,微生物群落
Aggregate-size effects on soil physical and chemical properties and microbial communities during wetland-to-upland transition in cold-region ecosystems of northeastern China,Junnan Ding,Revista Brasileira de Ciência do Solo,2026,10.36783/18069657rbcs20250143,"Soil aggregates are critical for maintaining soil structure, nutrient cycling, and microbial habitats, but their dynamics under land-use change remain unclear in cold-region ecosystems. This study aimed to examine soil aggregates, physical and chemical properties, enzyme activities, and bacterial communities across three aggregate size classes (mega-, macro-, and micro-aggregates) in wetland and farmland soils in northeastern China. Wetland soils contained larger proportions of coarse aggregates, higher mean weight diameter (MWD), and greater carbon and nitrogen contents than farmland soils, indicating stronger structural stability and nutrient retention. Microbial α- and β-diversity differed by aggregate size, with larger aggregates harboring more diverse bacterial communities. Soil organic carbon, TN, and SWC were the main drivers of microbial composition, especially in larger aggregates. Bacterial taxa also shifted with land use, with Nitrospinota and Desulfobacterota enriched in wetlands, while Actinobacteriota and Gemmatimonadota were more abundant in farmland. These results highlight the role of aggregate stability in shaping microbial diversity and soil functions during wetland-to-upland transitions.",滨海湿地/盐沼
Different bacterial co-occurrence patterns and community assembly between rhizosphere and bulk soils under N addition in the plant–soil system,Jie Wang; Lirong Liao; Zhencheng Ye; Hongfei Liu; Chao Zhang; Lu Zhang; Guobin Liu; Guoliang Wang,Plant and Soil,2022,10.1007/s11104-021-05214-2,,背景文献
Spartina alterniflora invasion enhances sediment nitrification processes in coastal wetland,Xianbiao Lin; Dongyao Sun; Zihao Wang; Dengzhou Gao; Weifang Hu; Wei Du,Plant and Soil,2025,10.1007/s11104-025-07522-3,,氮循环过程；滨海湿地/盐沼；湿地植被/盐生植物
Spartina alterniflora invasion alters soil microbial metabolism in coastal wetland of China,Yong-Xue Li; Pedro Laborda; Xiao-Ling Xie; Rong Zhou; Yao Chen; Teng Li; Zheng-Hui Pu; Yu-Lu Wang,"Estuarine, Coastal and Shelf Science",2020,10.1016/j.ecss.2020.106982,,滨海湿地/盐沼；湿地植被/盐生植物
Patters of reactive nitrogen removal at the waters in the semi-constructed wetland,Aiju You; Lei Hua; Jingwen Hu; Junsong Tian; Tao Ding; Na Cheng; Lifang Hu,Journal of Environmental Management,2023,10.1016/j.jenvman.2023.118733,,滨海湿地/盐沼
"Sensitive indicator microorganisms and C,N-cycle processes in soil with different petroleum hydrocarbon pollution levels",Ting Zhang; Xuhong Zhang; Zeliang Liu; Yawen Ou; Xuhong Duan; Manli Wu,Biochemical Engineering Journal,2025,10.1016/j.bej.2025.109752,,微生物群落
Characteristics of iron cycle and its driving mechanism during the development of biological soil crusts associated with desert revegetation,Yubing Liu; Yansong Wang; Zengru Wang; Tianpeng Gao,Soil Biology and Biochemistry,2021,10.1016/j.soilbio.2021.108487,,背景文献
Nitrogen cycling-related functional genes exhibit higher sensibility in soil than leaf phyllosphere of different tree species in the subtropical forests,Xiuzhen Shi; Liyan Wang; Jiawen Sun; Manuel Esteban Lucas‐Borja; Jianqing Wang,Plant and Soil,2023,10.1007/s11104-023-06223-z,,宏基因组/功能基因
Soil Water Content Shapes Microbial Community Along Gradients of Wetland Degradation on the Tibetan Plateau,Meng Li; Kerou Zhang; Zhongqing Yan; Liang Liu; Enze Kang; Xiaoming Kang,Frontiers in Microbiology,2022,10.3389/fmicb.2022.824267,"Soil microbes are important components in element cycling and nutrient supply for the development of alpine ecosystems. However, the development of microbial community compositions and networks in the context of alpine wetland degradation is unclear. We applied high-throughput 16S rRNA gene amplicon sequencing to track changes in microbial communities along degradation gradients from typical alpine wetland (W), to wet meadow (WM), to typical meadow (M), to grassland (G), and to desert (D) in the Zoige alpine wetland region on the Tibetan Plateau. Soil water content (SWC) decreased as wetland degradation progressed (79.4 and 9.3% in W and D soils, respectively). Total organic carbon (TOC), total nitrogen (TN), and total phosphorus (TP) increased in the soils of WM, and then decreased with alpine wetlands degradation from WM to the soils of M, G, and D, respectively. Wetland degradation did not affect microbial community richness and diversity from W soils to WM, M, and G soils, but did affect richness and diversity in D soils. Microbial community structure was strongly affected by wetland degradation, mainly due to changes in SWC, TOC, TN, and TP. SWC was the primary soil physicochemical property influencing microbial community compositions and networks. In wetland degradation areas, Actinobacteriota , Acidobacteriota , Cholorflexi , and Proteovacteria closely interacted in the microbial network. Compared to soils of W, WM, and M, Actinobacteriota played an important role in the microbial co-occurrence network of the G and D soils. This research contributes to our understanding of how microbial community composition and networks change with varied soil properties during degradation of different alpine wetlands.",滨海湿地/盐沼；微生物群落
Temporal patterns of soil carbon emission in tropical forests under long-term nitrogen deposition,Mianhai Zheng; Tao Zhang; Yiqi Luo; Juxiu Liu; X. L. Lu; Qing Ye; Senhao Wang; Juan Huang,Nature Geoscience,2022,10.1038/s41561-022-01080-4,,氮添加/氮沉降
"Bulk soil microbial reservoir or plant recruitment dominates rhizosphere microbial community assembly: Evidence from the rare, endangered Lauraceae species Cinmaomum migao",Jing‐Zhong Chen; Xiaolong Huang; Qing-wen Sun; Jiming Liu,Ecological Indicators,2023,10.1016/j.ecolind.2023.110071,"The rhizosphere microbial community is important for plant growth and health; however, it remains controversial whether this community assembles through rhizosphere recruitment or the stochastic dispersal of the bulk soil microbial reservoir. We observed the dynamic spatiotemporal changes in the Cinmaomum migao microbial community in the rhizosphere and bulk soil, a rare and endangered species endemic to China, through continuous sampling for 2 years. Soil nutrients, pH, and enzymes were tested to examine the dominant factors underlying rhizosphere microbiome assembly. The rhizosphere microbiome is a subset of the bulk soil microbiome. The Simpson diversity index (−0.02%, −0.01%) and Shannon diversity index (−4.3%, −4.5%) were lower in the rhizosphere than in the bulk soil. The rhizosphere microbial network had 1073 nodes and 2899 edges in the first year and 1012 nodes and 2730 edges in the second year. In contrast, the bulk soil microbial network had 1088 nodes and 3717 edges in the first year and 1133 nodes and 3715 edges in the second year. Therefore, their community compositions are very similar in terms of higher taxonomy (e.g., phylum), but significantly different in terms of lower taxonomy (e.g., genus). However, functional composition is significantly different between rhizosphere and bulk soil microbiomes; the rhizosphere community is closely associated with the nitrogen and carbon cycles, whereas bulk soil microbiome is highly diverse and its functioning varies with its location. Our study revealed that plant roots play an important recruitment role when they encounter different bulk soil microbial reservoirs. However, they may form bulk soil microbial reservoir with similar functions through chance selection and not assembly taxonomic level.",微生物群落
Constructed wetland treating mine drainage wastewater: Performance and microbial mechanisms,Xiaoyong Zhong; Xindong Teng; Bo Tang; Xunan Lin; Junbin Chen; Ronghua Zhao; Qiang Wu; Xiao Huang,Journal of Water Process Engineering,2024,10.1016/j.jwpe.2024.105244,,滨海湿地/盐沼
Nitrogen fertilization increases fungal diversity and abundance of saprotrophs while reducing nitrogen fixation potential in a semiarid grassland,Lirong Liao; Xiangtao Wang; Jie Wang; Guobin Liu; Chao Zhang,Plant and Soil,2021,10.1007/s11104-021-05012-w,,氮添加/氮沉降；氮循环过程
Patterns of bacterial communities in the rhizosphere and rhizoplane of alpine wet meadows,Awais Iqbal; Muhammad Maqsood Ur Rehman; Wasim Sajjad; A. Allan Degen; Muhammad Rafiq; Niu Jiahuan; Salman Khan; Zhanhuan Shang,Environmental Research,2023,10.1016/j.envres.2023.117672,,背景文献
Insight of bacteria and archaea in Feammox community enriched from different soils,Jiaxuan Zhu; Xuejun Yan; Lean Zhou; Nan Li; Chengmei Liao; Xin Wang,Environmental Research,2021,10.1016/j.envres.2021.111802,,背景文献
Saltwater incursion regulates N2O emission pathways and potential nitrification and denitrification in intertidal wetland,Yinghui Jiang; Guoyu Yin; Ye Li; Lijun Hou; Min Liu; Cheng Chen; Dongsheng Zheng; Han Wu,Biology and Fertility of Soils,2022,10.1007/s00374-022-01625-0,,氮循环过程；滨海湿地/盐沼
Nitrogen addition enhanced the polycyclic aromatic hydrocarbons dissipation through increasing the abundance of related degrading genes in the soils,Jian Wang; Zhiyao Yang; Xian Zhou; Michael Gatheru Waigi; Fredrick Owino Gudda; Emmanuel Stephen Odinga; Ahmed Mosa; Wanting Ling,Journal of Hazardous Materials,2022,10.1016/j.jhazmat.2022.129034,,氮添加/氮沉降
A novel Pseudomonas aeruginosa strain performs simultaneous heterotrophic nitrification-aerobic denitrification and aerobic phosphate removal,Mei-Qi Huang; You‐Wei Cui; Jilin Huang; Feng‐Long Sun; Si Chen,Water Research,2022,10.1016/j.watres.2022.118823,,氮循环过程
"Invasion of exotic Spartina alterniflora alters the size, availability, and stability of the soil phosphorus pool in the coastal wetlands of Eastern China",Huan Zhang; Xitong Yang; Yin Zheng; Jiahui Wang; Jinsong Wang; Shuqing An; Xiaoli Cheng; Wen Yang,CATENA,2024,10.1016/j.catena.2024.107909,,滨海湿地/盐沼；湿地植被/盐生植物
